Recency,Frequency,Monetary,Cluster_4
2,7,4310.0,0
75,4,1797.24,1
19,1,1757.55,1
310,1,334.40000000000003,3
36,11,1545.41,0
204,1,89.0,3
232,1,1079.4,3
214,1,459.4,3
23,3,2811.43,0
33,1,6207.67,0
2,2,1168.06,1
8,6,6245.53,0
52,3,2662.06,0
287,1,189.9,3
3,13,5154.58,2
110,2,552.0,1
8,4,1313.1,1
291,3,320.69,3
4,1,168.9,1
51,4,3545.69,0
45,2,1887.96,1
72,3,1298.04,1
311,1,364.6,3
25,1,742.9300000000001,1
3,3,455.42,1
315,2,1628.12,3
130,1,4008.62,0
82,3,850.29,1
22,5,2720.56,0
5,6,1803.96,0
185,6,1839.31,3
29,3,566.16,1
338,2,401.9,3
16,6,2780.6600000000003,0
80,1,549.84,1
22,1,460.89,1
72,4,1582.6,1
64,2,1272.48,1
16,15,2998.28,0
36,2,2409.9,1
46,1,1635.66,1
119,4,1108.65,1
303,1,84.3,3
323,1,225.6,3
50,2,409.7,1
149,1,1710.39,1
22,3,3280.75,0
50,5,1708.12,1
33,9,2842.57,0
79,7,11056.93,2
301,3,681.08,3
75,3,1226.88,1
67,5,694.15,1
217,3,562.4100000000001,3
3,12,3578.8,0
113,1,668.58,1
64,1,600.39,1
16,5,806.27,1
96,3,803.5600000000001,1
1,9,1849.11,0
163,2,1760.96,3
78,1,777.2,1
195,1,582.73,3
12,5,708.37,1
26,12,7877.2,2
9,4,3750.4,0
43,1,256.4,1
36,18,6416.39,2
43,5,5059.32,0
85,4,765.19,1
80,2,7829.89,0
100,1,509.01,1
2,19,4896.66,2
14,2,2906.85,0
367,1,173.55,3
3,1,172.06,1
21,5,5005.46,0
22,1,133.4,1
58,1,1002.31,1
243,1,476.49,3
44,1,449.45,1
22,4,4067.29,0
156,2,197.88,3
11,6,8933.52,2
17,3,428.5700000000001,1
134,1,707.09,1
73,6,2466.86,0
44,4,3153.89,0
58,12,1917.78,0
71,2,947.4,1
94,2,826.88,1
2,4,1124.01,1
46,7,1303.63,0
10,8,1212.05,0
8,3,733.89,1
143,3,724.04,1
31,13,6229.4800000000005,2
29,9,2848.23,0
17,30,7116.47,2
54,1,723.38,1
1,20,6546.58,2
4,1,680.99,1
4,3,477.3,1
28,4,3281.63,0
23,11,5590.86,2
17,13,2327.13,0
33,8,4495.27,0
10,3,1298.66,1
336,1,334.93,3
5,10,5417.93,0
39,1,460.4,1
63,2,263.21000000000004,1
166,3,416.79,3
10,13,1139.35,0
82,1,1043.1,1
21,3,403.7000000000001,1
23,13,4206.27,0
315,2,2089.68,3
96,5,3723.87,0
18,4,114.0,1
233,1,73.5,3
134,4,1258.06,1
26,2,398.27,1
284,1,176.5,3
143,2,982.57,1
66,2,138.03,1
85,2,586.79,1
267,1,1017.68,3
353,1,383.7,3
78,2,1312.06,1
28,6,2464.89,0
1,5,2056.89,0
64,1,340.84000000000003,1
79,6,2582.51,0
143,1,599.68,1
39,2,192.72,1
2,13,1745.57,0
9,8,4485.72,0
1,3,1316.66,1
82,3,348.71000000000004,1
9,8,1922.28,0
60,5,1623.63,1
15,1,125.22,1
30,1,349.83000000000004,1
131,1,1089.18,1
92,2,716.35,1
8,5,4106.82,0
29,1,363.95,1
22,5,3852.5,0
30,3,981.18,1
30,2,355.7,1
75,2,1000.39,1
47,3,1141.5,1
198,2,207.8,3
166,1,95.2,3
79,1,964.83,1
358,1,168.0,3
39,2,437.82,1
8,14,3652.25,0
50,2,603.71,1
311,3,536.21,3
5,4,2101.39,0
303,1,238.85,3
8,7,3781.74,0
261,1,456.9,3
282,2,131.17000000000002,3
73,2,346.7,1
23,11,9114.94,2
2,35,4064.99,2
40,2,519.61,1
9,3,1004.72,1
227,1,160.54000000000002,3
316,1,218.45,3
36,6,1306.98,1
35,4,595.4,1
21,4,2753.36,0
73,3,410.72,1
247,1,415.7,3
40,1,197.71,1
239,2,511.36,3
3,18,7187.34,2
4,18,1893.95,0
234,4,1982.81,3
17,2,179.94000000000003,1
8,1,144.0,1
39,1,214.9,1
29,2,646.68,1
190,3,9861.38,2
317,1,452.85,3
92,2,437.6,1
109,3,418.1,1
38,11,3320.2200000000003,0
51,2,618.27,1
19,5,3683.13,0
10,9,3002.68,0
29,7,1032.58,0
29,11,2581.04,0
190,6,569.5600000000001,3
59,1,153.12,1
22,1,739.1999999999999,1
79,2,254.18,1
78,3,1126.85,1
23,7,2057.99,0
52,1,1193.32,1
58,2,643.59,1
31,6,3218.98,0
278,1,315.6,3
2,4,2291.19,0
85,5,657.25,1
29,1,355.53000000000003,1
22,1,177.31,1
16,13,3214.81,0
15,3,1339.41,1
232,1,180.1,3
276,1,305.1,3
106,2,641.13,1
212,3,2614.32,3
23,13,6388.35,2
11,7,4478.53,0
4,4,769.61,1
10,2,1270.88,1
57,1,640.5,1
59,5,2140.63,0
90,2,1689.18,1
67,10,5953.25,2
33,1,671.69,1
239,1,486.1,3
24,3,1174.58,1
115,1,185.9,1
25,3,1013.26,1
128,6,3344.64,0
130,1,477.91,1
34,5,1755.38,0
5,2,1346.97,1
22,13,3669.92,0
155,1,318.05,3
107,4,603.71,1
3,1,314.44,1
335,1,114.0,3
322,2,914.53,3
149,2,2209.85,1
11,5,601.98,1
17,8,3982.72,0
11,5,1152.06,1
19,1,686.05,1
30,1,91.68,1
11,1,245.1,1
1,12,3817.08,0
8,10,4863.88,0
325,2,61.75,3
58,1,620.13,1
7,6,3743.18,0
151,4,1607.73,1
10,6,2986.15,0
330,1,225.9,3
5,2,610.52,1
12,7,1919.31,0
25,6,1331.39,0
52,9,1058.67,0
1,4,862.81,1
4,20,8221.09,2
8,7,2283.63,0
28,6,2863.08,0
114,1,4873.81,0
26,2,1247.61,1
206,1,389.01,3
28,6,1035.8,1
121,6,830.96,1
70,2,869.67,1
7,4,582.1,1
21,5,939.02,1
8,6,4867.99,0
80,2,797.71,1
20,1,219.0,1
64,2,274.7,1
7,10,2220.84,0
15,14,6814.24,2
292,1,603.42,3
30,16,2616.32,0
3,26,9294.1,2
97,4,1130.57,1
23,17,4241.63,2
1,1,848.55,1
9,5,4708.86,0
106,1,353.86,1
4,2,1053.49,1
151,3,980.98,3
71,1,238.25,1
5,3,608.1,1
3,29,5713.28,2
32,7,2628.98,0
85,6,904.33,1
4,5,725.07,1
5,4,1031.41,1
28,7,2609.1,0
11,9,3947.7,0
71,4,836.33,1
114,1,453.01,1
180,1,236.26,3
234,1,383.95,3
353,1,110.4,3
315,2,779.5699999999999,3
333,1,234.0,3
78,2,1013.04,1
64,1,427.6,1
134,2,546.43,1
52,10,9120.39,2
2,11,4196.01,0
4,8,3868.2,0
129,1,275.88,1
81,1,4366.78,0
236,5,2949.12,3
250,4,2203.2000000000003,3
87,1,112.08,1
16,19,4227.7,2
117,2,2791.59,1
52,3,1531.44,1
8,2,1898.52,1
138,2,494.08,1
317,1,1693.88,3
4,7,6989.63,2
239,1,1143.6,3
211,1,1351.45,3
60,1,892.47,1
17,6,1351.24,0
20,7,804.23,1
21,12,3868.7,0
21,5,707.72,1
5,6,2273.32,0
2,8,1603.87,0
9,2,574.42,1
3,2,305.71,1
10,3,463.66,1
65,1,91.85,1
192,1,324.92,3
257,1,400.54,3
335,2,545.48,3
53,2,860.41,1
19,1,430.48,1
360,3,194.18,3
10,3,6977.04,0
184,2,412.58,3
37,3,483.65,1
168,2,484.36,3
261,3,514.85,3
45,1,229.64,1
102,1,125.92,1
148,2,1063.46,1
96,2,572.2,1
281,1,166.04000000000002,3
178,2,1517.88,3
3,4,942.34,1
214,1,92.72,3
71,3,918.98,1
75,5,1759.5,1
60,1,397.12,1
3,8,1468.12,0
6,3,430.15,1
3,6,1018.71,1
322,3,253.05,3
38,7,6748.4,2
262,1,215.05,3
32,2,383.03,1
145,1,417.38,3
283,1,312.38,3
59,4,2612.86,0
173,1,134.1,3
34,2,683.13,1
3,16,5583.62,2
144,6,2714.27,0
5,26,3876.4,2
70,2,1118.99,1
66,9,1680.76,0
29,2,325.96000000000004,1
267,4,354.09000000000003,3
22,1,871.54,1
31,2,1050.89,1
97,1,135.18,1
290,2,299.75,3
108,9,1881.7,0
79,5,1289.15,1
8,8,2162.68,0
211,2,1106.4,3
52,2,504.2,1
138,1,147.12,1
26,3,1548.07,1
283,1,559.12,3
26,10,3986.22,0
186,6,1607.0600000000002,3
84,2,380.64,1
327,2,599.97,3
282,1,374.0,3
143,2,343.2300000000001,1
58,2,2218.02,1
4,12,1535.77,0
18,3,841.64,1
45,4,552.57,1
276,1,298.0,3
9,2,1463.04,1
25,4,703.47,1
88,1,309.05,1
63,4,1158.27,1
68,3,1351.09,1
214,4,313.77,3
24,1,380.47,1
186,3,331.0,3
31,1,188.14,1
42,3,347.3,1
205,2,216.5,3
265,1,138.68,3
18,2,509.58,1
12,5,2919.81,0
40,8,2128.83,0
23,8,3075.04,0
3,5,1662.3,0
5,5,2483.63,0
149,2,363.65,3
139,5,2982.35,0
128,1,594.0,1
8,8,1301.44,0
17,1,164.23,1
161,1,405.38,3
64,1,176.97,1
88,5,929.95,1
5,2,694.05,1
35,5,2062.7,0
122,2,105.1,1
78,4,409.9,1
24,4,606.28,1
2,8,2156.45,0
17,5,1012.9,1
15,4,1504.27,1
26,1,114.14,1
46,4,876.29,1
131,3,683.9,1
36,2,604.51,1
288,1,462.95,3
144,11,1407.29,0
16,8,2053.7,0
31,10,4143.02,0
2,3,1843.0,1
9,8,1042.07,0
6,5,1382.84,1
10,1,329.85,1
1,14,4734.26,2
306,1,108.07,3
4,12,3979.04,0
7,2,266.39,1
8,9,1841.03,0
89,1,771.91,1
10,1,160.18,1
3,4,1194.75,1
112,1,135.95,1
7,4,452.24,1
198,1,144.8,3
212,1,738.6,3
156,1,39.24,3
156,12,7092.06,2
30,2,372.22,1
240,2,377.2,3
19,1,97.5,1
1,3,1215.62,1
74,3,545.0,1
292,1,535.32,3
3,19,6854.51,2
31,3,409.5,1
23,2,503.76,1
23,4,414.76,1
4,5,902.22,1
78,2,200.72,1
22,7,1197.94,0
196,3,455.88,3
107,3,534.85,1
4,15,9797.92,2
318,1,120.95,3
106,3,149.05,1
12,22,5613.43,2
174,3,468.95,3
56,1,81.57,1
323,2,178.47,3
9,11,1311.62,0
1,15,4786.99,2
3,16,3365.43,0
53,5,3346.28,0
73,3,789.89,1
7,1,204.0,1
16,29,7272.75,2
4,12,2584.4,0
64,2,689.9,1
1,8,936.15,0
114,6,6912.0,2
23,3,659.68,1
31,3,1247.5,1
11,2,799.48,1
39,3,996.52,1
357,1,190.55,3
55,2,642.77,1
58,3,886.63,1
138,3,881.07,1
80,3,908.46,1
9,2,676.99,1
254,2,471.57,3
291,1,560.47,3
99,1,305.28000000000003,1
31,2,629.31,1
32,18,3079.1,2
14,5,1805.91,0
64,2,656.6800000000001,1
9,28,5684.61,2
212,1,348.15000000000003,3
64,4,1201.96,1
25,3,271.40000000000003,1
250,1,183.4,3
254,1,307.53000000000003,3
72,1,248.61,1
191,1,346.98,3
13,4,1119.49,1
24,3,430.9,1
82,1,115.46,1
10,2,344.0,1
1,27,3717.82,2
192,1,228.8,3
267,1,177.15,3
130,1,919.61,1
1,4,729.27,1
4,5,220.1,1
179,1,58.08,3
126,10,3595.48,0
4,2,303.75,1
158,3,272.38,3
9,18,8689.39,2
21,2,319.82,1
71,6,459.83,1
267,13,7741.47,2
21,16,1708.86,0
71,1,74.39999999999999,1
33,14,5893.32,2
99,1,207.36,1
234,1,101.19,3
1,27,6336.29,2
40,1,243.94,1
3,6,1098.48,1
129,2,59.5,1
44,5,1524.07,1
3,5,766.84,1
31,8,1452.87,0
9,14,2205.63,0
117,2,485.19,1
22,8,984.91,0
20,7,1125.0,0
239,1,30.6,3
269,2,254.73,3
94,2,922.39,1
90,3,3866.33,0
5,10,2056.29,0
78,1,259.17,1
94,1,64.0,1
23,4,1039.3,1
262,1,77.3,3
274,2,109.8,3
73,7,1740.63,0
197,1,3096.0,3
50,11,2545.38,0
11,9,3605.08,0
22,6,962.39,1
16,8,5055.79,0
108,3,423.72,1
85,6,2385.8,0
19,1,307.09000000000003,1
333,1,110.95,3
40,5,614.77,1
26,1,228.91,1
10,4,712.8,1
29,17,3348.48,2
14,4,1676.06,1
203,2,1250.37,3
6,1,486.22,1
33,4,971.76,1
49,5,1721.57,1
95,4,1201.06,1
9,5,1379.75,1
22,1,91.8,1
313,1,112.75,3
122,5,1644.99,1
46,2,1021.48,1
282,2,414.7,3
19,4,791.33,1
36,5,1310.14,1
64,2,712.88,1
27,1,116.01,1
8,5,426.81,1
4,2,353.65000000000003,1
16,3,2817.03,0
46,1,492.84,1
65,1,282.45,1
26,11,5725.47,2
45,1,121.18,1
8,9,3957.78,0
15,12,1648.79,0
268,1,71.4,3
40,5,1539.69,1
337,1,236.02,3
11,1,114.6,1
19,2,260.68,1
95,2,911.94,1
61,1,117.88,1
136,1,60.7,1
11,4,1797.78,1
10,8,3384.09,0
19,4,870.09,1
10,4,869.46,1
15,2,250.26,1
59,7,1205.9,0
30,11,5820.16,2
94,1,353.48,1
10,3,1197.42,1
9,4,780.58,1
57,6,1518.43,0
268,1,333.74,3
122,5,133.62,1
127,1,62.64,1
78,4,819.2900000000001,1
240,2,847.41,3
200,2,163.2,3
60,3,2150.85,1
3,8,6083.04,2
273,1,108.21,3
202,1,257.7,3
81,1,358.0,1
226,1,160.95,3
4,15,2763.41,0
13,7,1357.6,0
74,2,605.12,1
212,2,101.17000000000009,3
25,3,727.27,1
11,5,680.83,1
262,1,329.56,3
96,4,663.65,1
112,3,270.40000000000003,1
203,1,600.07,3
93,1,121.74,1
51,1,430.5,1
18,7,1922.1,0
18,4,501.12,1
125,2,465.68,1
92,3,711.41,1
157,2,1030.4,3
4,3,390.66,1
12,3,698.5799999999999,1
62,1,292.32,1
61,1,557.62,1
269,2,944.1,3
263,1,200.29,3
1,35,7454.07,2
53,5,2107.66,0
11,19,3717.67,2
3,27,4404.4400000000005,2
18,15,3167.64,0
1,17,5315.92,2
366,1,590.0,3
37,2,178.26,1
31,2,276.56,1
113,1,138.98,1
64,2,590.9300000000001,1
16,4,258.4,1
41,1,542.73,1
64,2,126.3,1
122,3,814.86,1
18,6,1047.84,1
60,2,93.66,1
323,2,196.15,3
23,4,2709.12,0
156,1,361.11,3
39,2,578.94,1
190,2,873.74,3
360,2,197.95,3
137,1,87.4,1
8,4,2089.85,0
1,1,360.0,1
268,1,142.5,3
165,2,365.29,3
104,4,618.09,1
155,1,63.75,3
351,1,300.42,3
4,10,2000.86,0
120,1,15.0,1
23,4,1367.61,1
7,5,1456.79,1
9,6,1083.63,1
4,2,598.57,1
22,5,1555.3200000000002,1
2,4,578.66,1
37,5,5815.49,0
64,9,2140.07,0
1,3,640.76,1
5,36,10664.34,2
70,6,1491.7,0
72,2,567.36,1
17,1,199.48,1
3,5,787.85,1
32,12,7072.8,2
82,1,675.3,1
39,9,3617.57,0
316,1,1308.48,3
32,4,740.4,1
93,3,1140.93,1
14,1,350.90000000000003,1
82,3,3536.82,0
77,1,795.12,1
154,3,431.82,3
201,1,860.12,3
45,7,10736.48,2
261,1,775.85,3
173,2,303.93,3
68,3,2543.7200000000003,0
277,2,377.6,3
70,1,341.36,1
64,1,233.76,1
11,1,247.32,1
16,3,910.72,1
66,1,373.94,1
8,2,389.28,1
71,1,743.53,1
122,1,674.7,1
80,1,768.24,1
257,1,609.95,3
269,1,439.03,3
59,2,431.26,1
3,5,3085.49,0
18,2,992.5,1
9,3,2191.22,1
50,1,56.16,1
257,2,623.4,3
354,2,263.75,3
366,2,721.32,3
90,1,378.64,1
61,3,3312.25,0
81,2,772.9,1
99,3,1019.76,1
26,3,572.56,1
21,7,3626.81,0
281,1,222.99,3
31,9,4122.28,0
330,1,534.57,3
121,3,627.15,1
11,3,797.96,1
75,1,544.08,1
204,1,59.8,3
2,10,2312.8,0
185,1,307.72,3
22,4,1325.29,1
73,6,1539.18,0
192,1,457.34,3
127,2,621.23,1
18,1,75.0,1
1,2,252.49,1
74,3,572.451,1
9,7,988.91,0
107,1,213.55,1
134,3,1390.5,1
44,2,712.5,1
5,2,640.83,1
12,23,5845.4400000000005,2
64,1,221.06,1
135,4,140.35,1
40,3,1848.98,1
51,2,2601.55,1
108,3,1624.21,1
1,12,3550.7000000000003,0
19,3,582.6,1
10,1,218.47,1
11,4,1006.8,1
19,4,648.6899999999999,1
67,2,1269.1,1
74,2,534.24,1
5,9,3794.49,0
2,1,196.89,1
14,7,3408.06,0
255,1,283.71,3
92,1,296.64,1
23,4,1104.23,1
17,10,3465.67,0
24,1,291.88,1
27,6,2043.72,0
26,6,2916.45,0
259,2,590.0,3
166,2,356.98,3
25,4,1007.35,1
18,7,1737.8200000000002,0
7,22,9537.92,2
29,2,183.44,1
39,3,1445.0,1
183,2,143.25,3
58,1,674.68,1
100,2,297.95,1
11,2,1083.71,1
99,2,165.0,1
1,4,2531.58,0
61,3,417.54,1
236,1,229.59,3
191,4,1431.78,3
179,4,1092.77,3
38,8,1441.53,0
198,3,291.0,3
46,8,1776.81,0
232,1,184.64,3
66,1,140.34,1
241,1,313.8,3
233,1,454.24,3
78,3,1122.41,1
58,3,575.4,1
17,17,8910.61,2
105,4,449.52,1
52,10,1215.82,0
136,3,1269.84,1
275,2,618.63,3
312,1,316.26000000000005,3
8,6,1990.12,0
11,3,617.93,1
283,3,321.05,3
18,7,1146.96,0
23,4,1136.77,1
243,2,1310.47,3
17,3,292.0,1
71,1,216.85,1
64,1,295.93,1
68,8,4282.88,0
312,3,452.82,3
3,4,2479.16,0
244,1,110.97,3
9,7,979.72,0
1,5,1785.16,0
261,1,251.21,3
127,1,205.1,1
74,1,152.20000000000002,1
73,4,891.12,1
21,3,1389.41,1
60,5,2109.07,0
86,1,659.44,1
50,2,110.8,1
59,8,3487.75,0
1,3,1093.65,1
30,1,125.8,1
33,6,3755.38,0
41,5,680.1800000000001,1
15,2,628.78,1
34,8,2263.76,0
79,2,307.76,1
205,2,483.8,3
34,1,210.31,1
183,3,270.79,3
1,7,3448.29,0
43,7,1280.85,0
86,4,605.84,1
40,2,291.41,1
12,3,626.99,1
96,2,682.41,1
26,8,916.12,0
319,1,91.8,3
66,16,3539.53,0
74,4,4149.28,0
28,2,584.0600000000001,1
6,4,605.06,1
7,1,174.37,1
216,1,141.86,3
82,3,1799.3300000000002,1
84,2,777.53,1
144,5,647.74,1
19,2,240.22,1
41,2,874.71,1
173,1,192.85,3
17,2,373.75,1
243,1,239.49,3
13,12,2092.32,0
206,1,1384.25,3
50,2,294.40000000000003,1
23,5,732.07,1
10,20,6703.3,2
25,5,1658.3,1
15,2,467.04,1
309,1,118.0,3
156,1,781.03,3
307,1,142.4,3
32,3,347.0,1
16,13,2445.12,0
15,2,379.65,1
11,7,1976.12,0
65,3,1117.13,1
36,4,247.96,1
108,6,1990.28,0
53,1,396.97,1
6,2,697.04,1
47,2,167.42000000000002,1
1,33,5030.6,2
312,1,219.52,3
45,2,693.32,1
65,1,428.89,1
26,1,164.34,1
29,3,280.54,1
40,1,678.01,1
12,9,1115.43,0
89,4,1158.2,1
24,4,1610.46,1
313,2,399.99,3
40,3,544.18,1
174,1,177.34,3
117,1,213.85,1
31,7,672.44,1
253,1,257.23,3
59,7,1624.02,0
23,11,7792.36,2
5,11,1995.68,0
100,12,3021.77,0
25,6,2117.02,0
33,5,1575.16,1
68,1,1071.03,1
37,6,941.62,1
52,3,810.5,1
16,1,122.64,1
74,1,1033.34,1
216,1,354.8,3
31,3,519.44,1
9,5,2597.52,0
120,1,252.1,1
10,5,1670.22,0
257,2,346.6,3
17,7,1809.34,0
35,2,94.2,1
46,3,1095.08,1
43,6,2707.33,0
114,2,932.97,1
165,2,379.65,3
11,2,382.14,1
10,7,2421.47,0
197,3,1550.85,3
86,7,879.08,1
179,1,189.47,3
60,3,84.65,1
149,1,305.02,3
3,29,6216.07,2
51,2,218.55,1
75,1,349.7,1
19,2,396.92,1
151,2,486.8200000000001,3
152,1,232.6,3
1,5,2202.31,0
18,4,827.83,1
187,1,59.5,3
286,2,64.23,3
3,7,3119.44,0
183,1,72.0,3
63,1,910.0,1
59,1,172.25,1
25,5,1466.87,1
31,15,2504.13,0
39,1,151.3,1
155,1,308.58000000000004,3
26,10,2265.12,0
318,1,99.5,3
5,10,2295.31,0
8,3,711.86,1
303,1,330.79,3
267,2,806.41,3
271,1,296.88,3
4,17,6249.11,2
32,1,180.48,1
219,2,252.06,3
247,1,228.84,3
281,8,1053.94,3
269,1,138.28,3
32,7,1432.26,0
246,2,306.55,3
15,5,1041.68,1
117,4,799.9,1
36,1,524.14,1
120,4,2369.16,0
217,1,199.85,3
50,11,1809.81,0
39,2,1079.66,1
29,2,333.48,1
37,6,1016.14,1
136,2,752.6,1
219,2,610.59,3
28,1,491.86,1
25,8,2766.18,0
5,3,724.0,1
200,1,339.6,3
18,1,216.9,1
241,1,350.75,3
72,4,666.33,1
17,14,3102.42,0
3,8,1340.15,0
95,2,1156.36,1
151,2,291.54,3
96,5,948.25,1
54,5,1647.26,1
288,1,296.25,3
124,6,1186.28,1
288,1,741.26,3
152,2,282.6,3
4,10,2154.68,0
2,15,5145.12,2
12,7,3190.55,0
33,2,659.4100000000001,1
54,2,286.79,1
50,2,1070.65,1
63,3,1689.46,1
71,3,1521.76,1
2,16,2771.8700000000003,0
64,5,2631.7,0
34,3,1132.13,1
82,1,345.0,1
103,1,178.7,1
7,2,360.01,1
251,1,127.84,3
13,6,912.0,1
10,11,2462.79,0
367,1,230.4,3
76,2,309.04,1
4,1,348.79999999999995,1
43,3,1047.68,1
66,2,195.55,1
117,2,688.86,1
310,1,558.32,3
67,1,324.8,1
138,6,3906.27,0
255,1,277.07,3
31,7,2635.79,0
52,2,924.6,1
64,1,256.38,1
367,1,112.6,3
6,5,1747.66,0
305,1,155.05,3
29,4,899.51,1
184,4,591.75,3
42,3,539.0,1
40,5,1353.41,1
56,3,1562.12,1
22,5,4014.91,0
24,4,555.04,1
